BTC,Bitcoin,https://github.com/bitcoin/bitcoin
ETH,Ethereum,https://github.com/ethereum/go-ethereum
XRP,XRP,https://github.com/ripple/rippled
EOS,EOS,https://github.com/EOSIO/eos
LTC,Litecoin,https://github.com/litecoin-project/litecoin
BCH,Bitcoin Cash,https://github.com/Bitcoin-ABC/bitcoin-abc
BNB,Binance Coin,https://github.com/binance-exchange/binance-official-api-docs
USDT,Tether,
XLM,Stellar,https://github.com/stellar/stellar-core
ADA,Cardano,https://github.com/input-output-hk/cardano-sl
TRX,TRON,https://github.com/tronprotocol/java-tron
BSV,Bitcoin SV,https://github.com/bitcoin-sv/bitcoin-sv
XMR,Monero,https://github.com/monero-project/monero
ATOM,Cosmos,https://github.com/cosmos/cosmos
MIOTA,IOTA,https://github.com/iotaledger/iri
DASH,Dash,https://github.com/dashpay/dash
ONT,Ontology,https://github.com/ontio/ontology
MKR,Maker,https://github.com/makerdao/dai.js
NEO,NEO,https://github.com/neo-project/neo
XTZ,Tezos,
ETC,Ethereum Classic,https://github.com/ethereumproject/go-ethereum
OKB,OKB,
XEM,NEM,https://github.com/NemProject/NanoWallet
ZB,ZB Token,
ZEC,Zcash,https://github.com/zcash/zcash
VET,VeChain,https://github.com/vechain/thor
BAT,Basic Attention Token,https://github.com/brave-intl/publishers
WAVES,Waves,https://github.com/wavesplatform/Waves
USDC,USD Coin,https://github.com/centrehq/centre-tokens
DOGE,Dogecoin,https://github.com/dogecoin/dogecoin
OMG,OmiseGO,https://github.com/omisego/elixir-omg
CRO,Crypto.com Chain,
BTG,Bitcoin Gold,https://github.com/BTCGPU/BTCGPU
LSK,Lisk,https://github.com/LiskHQ/lisk
QTUM,Qtum,https://github.com/qtumproject/qtum
TUSD,TrueUSD,https://github.com/trusttoken/trueUSD
HOT,Holo,https://github.com/holochain/holochain-rust
RVN,Ravencoin,https://github.com/RavenProject/Ravencoin
DCR,Decred,https://github.com/decred/dcrd
LINK,ChainLink,https://github.com/smartcontractkit/chainlink
ZRX,0x,https://github.com/0xProject/0x-monorepo
ZIL,Zilliqa,https://github.com/Zilliqa/Zilliqa
BTM,Bytom,https://github.com/bytom/bytom
BTS,BitShares,https://github.com/bitshares/bitshares-core
REP,Augur,https://github.com/AugurProject/augur-core
BCD,Bitcoin Diamond,https://github.com/eveybcd/BitcoinDiamond
ICX,ICON,https://github.com/icon-project/loopchain
DGB,DigiByte,https://github.com/digibyte/digibyte
ENJ,Enjin Coin,https://github.com/enjin/erc-1155
BCN,Bytecoin,https://github.com/bcndev/bytecoin
STEEM,Steem,https://github.com/steemit/steem
NANO,Nano,https://github.com/nanocurrency/raiblocks
AE,Aeternity,https://github.com/aeternity/epoch
PAX,Paxos Standard,https://github.com/paxosglobal/pax-contracts
KCS,KuCoin Shares,
KMD,Komodo,https://github.com/KomodoPlatform/KomodoPlatform
IOST,IOST,https://github.com/iost-official/go-iost
XVG,Verge,https://github.com/vergecurrency/verge
NPXS,Pundi X,
SC,Siacoin,
STRAT,Stratis,https://github.com/stratisproject/StratisCore
HT,Huobi Token,
ARK,Ark,https://github.com/ArkEcosystem/core
DAI,Dai,https://github.com/makerdao/market-maker-keeper
THETA,Theta Network,https://github.com/thetatoken/theta-protocol-ledger
SNT,Status,https://github.com/status-im/status-react
GNT,Golem,https://github.com/golemfactory/golem
ARDR,Ardor,
BTT,BitTorrent,
MANA,Decentraland,https://github.com/decentraland/marketplace
XIN,Mixin,https://github.com/MixinMessenger/ios-app
DGTX,Digitex Futures Exchange,
FCT,Factom,https://github.com/FactomProject/factomd
GXS,GXChain,https://github.com/gxchain/gxb-core
R,Revain,https://github.com/Revain/Token
HC,HyperCash,https://github.com/HcashOrg/hcashd
NEX,Nash Exchange,
MXM,Maximine,
POLY,Polymath Network,https://github.com/PolymathNetwork/polymath-core
ELF,aelf,https://github.com/aelfProject/AElf
MAID,MaidSafeCoin,https://github.com/maidsafe/safe_client_libs
QKC,QuarkChain,https://github.com/QuarkChain/pyquarkchain
WAX,WAX,
ETN,Electroneum,https://github.com/electroneum/electroneum
PIVX,PIVX,https://github.com/PIVX-Project/PIVX
MCO,Crypto.com,
PPT,Populous,https://github.com/bitpopulous/populous-smartcontracts
XZC,Zcoin,https://github.com/zcoinofficial/zcoin
QASH,QASH,
ETP,Metaverse ETP,https://github.com/mvs-org/metaverse
LRC,Loopring,https://github.com/Loopring/protocol2
POWR,Power Ledger,
LOOM,Loom Network,https://github.com/loomnetwork/loom-js
AION,Aion,https://github.com/aionnetwork/aion
CELR,Celer Network,
AOA,Aurora,
NEXO,NEXO,https://github.com/nexofinance/NEXO-Token
KNC,Kyber Network,https://github.com/kybernetwork/KyberWallet
WAN,Wanchain,https://github.com/wanchain/go-wanchain
ENG,Enigma,https://github.com/enigmampc/catalyst
NAS,Nebulas,https://github.com/nebulasio/go-nebulas
ZEN,Horizen,https://github.com/ZencashOfficial/zen
DENT,Dent,
BNT,Bancor Network Token,https://github.com/bancorprotocol/contracts
ELA,Elastos,https://github.com/elastos/Elastos.OS
GAS,Gas,https://github.com/neo-project/neo
TOMO,TomoChain,https://github.com/tomochain/tomoscan
STORJ,Storj,https://github.com/storj/storj
DGD,DigixDAO,https://github.com/DigixGlobal/dao-contracts
RDD,Reddcoin,https://github.com/reddcoin-project/reddcoin
BIX,Bibox Token,https://github.com/bibox365/bixtoken
APL,Apollo,https://github.com/ApolloFoundation/Apollo
WTC,Waltonchain,
AGI,SingularityNET,https://github.com/singnet/singnet
ODE,ODEM,https://github.com/odemio/zeppelin-solidity
PAY,TenX,
SYS,Syscoin,https://github.com/syscoin/syscoin2
MONA,MonaCoin,https://github.com/monacoinproject/monacoin
GRS,Groestlcoin,https://github.com/GroestlCoin/GroestlCoin
QNT,Quant,https://github.com/quantnetwork/Overledger-Interfaces
TPAY,TokenPay,https://github.com/tokenpay/
KIN,Kin,
VERI,Veritaseum,https://github.com/veritaseum/Veritaseum
RLC,iExec RLC,https://github.com/iExecBlockchainComputing/iexec-sdk
COSM,Cosmo Coin,https://github.com/cosmochain/CosmoCoin
NXT,NXT,
NULS,Nuls,https://github.com/nuls-io/nuls
GBYTE,Obyte,https://github.com/byteball/ocore
FUN,FunFair,
CND,Cindicator,https://github.com/cindicator/CindicatorArbitrageBot
TRUE,TrueChain,
CVC,Civic,
